,Provincia,Capital,Comuna,Latitude,Longitude
1,Isla de Pascua,Hanga Roa, Isla de Pascua,-27.125959350000002,-109.3495764220578
2,Los Andes,Los Andes, Calle Larga,-32.833329,-70.688845
3,Los Andes,Los Andes, Los Andes,-32.8336867,-70.5981609
4,Los Andes,Los Andes, Rinconada,-32.8725135,-70.7125102123506
5,Los Andes,Los Andes, San Esteban,-32.7990544,-70.5795811
6,Petorca,La Ligua, Cabildo,-32.4265909,-71.0663299
7,Petorca,La Ligua, La Ligua,-32.4496375,-71.2316695
8,Petorca,La Ligua, Papudo,-32.5075685,-71.4459582
9,Petorca,La Ligua, Petorca,-32.251699,-70.9309103
10,Petorca,La Ligua, Zapallar,-32.5528294,-71.4588181
11,Quillota,Quillota, Hijuelas,-32.8000578,-71.145221
12,Quillota,Quillota, La Calera,-32.788981,-71.203546
13,Quillota,Quillota, La Cruz,-32.8279116,-71.2271534
14,Quillota,Quillota, Nogales,-32.7315797,-71.2029475
15,Quillota,Quillota, Quillota,-32.879997,-71.2473555
16,San Antonio,San Antonio, Algarrobo,-33.369172,-71.6680533
17,San Antonio,San Antonio, Cartagena,-33.5468491,-71.6031708
18,San Antonio,San Antonio, El Quisco,-33.400311,-71.693998
19,San Antonio,San Antonio, El Tabo,-33.4545847,-71.669107
20,San Antonio,San Antonio, San Antonio,-32.841742,-70.953908
21,San Antonio,San Antonio, Santo Domingo,-33.78623435,-71.67572266062791
22,San Felipe,San Felipe, Catemu,-32.7784214,-70.9633428
23,San Felipe,San Felipe, Llay-Llay,-32.88808305,-70.8870505708328
24,San Felipe,San Felipe, Panquehue,-32.7705769,-70.8361303
25,San Felipe,San Felipe, Putaendo,-32.6260768,-70.7167642
26,San Felipe,San Felipe, San Felipe,-32.7507173,-70.7250903
27,San Felipe,San Felipe, Santa María,-32.7478749,-70.6567375
28,Valparaíso,Valparaíso, Casablanca,-33.3205864,-71.4100762
29,Valparaíso,Valparaíso, Concón,-32.9220036,-71.5159565
30,Valparaíso,Valparaíso, Juan Fernández,-33.6444796,-78.83956354127443
31,Valparaíso,Valparaíso, Puchuncaví,-32.7259856,-71.4150065
32,Valparaíso,Valparaíso, Quintero,-32.7840217,-71.5283361
33,Valparaíso,Valparaíso, Valparaíso,-33.0458456,-71.6196749
34,Valparaíso,Valparaíso, Viña del Mar,-33.0244535,-71.5517636
35,Marga Marga,Quilpué, Limache,-33.0018741,-71.2657315
36,Marga Marga,Quilpué, Olmué,-32.9956184,-71.186211
37,Marga Marga,Quilpué, Quilpué,-33.0498135,-71.4415282
38,Marga Marga,Quilpué, Villa Alemana,-33.0441903,-71.3725464
